mid_point_x,mid_point_y,density,velocity,pressure
-0.472656,0.480469,1.000000,0.500005,2.500000
-0.472656,0.488281,1.000000,0.500005,2.500000
-0.472656,0.496094,1.000000,0.500005,2.500000
-0.464844,-0.496094,1.000000,0.500005,2.500000
-0.464844,-0.488281,1.000000,0.500005,2.500000
-0.464844,-0.480469,1.000000,0.500005,2.500000
-0.464844,-0.472656,1.000000,0.500005,2.500000
-0.464844,-0.464844,1.000000,0.500005,2.500000
-0.464844,-0.457031,1.000000,0.500005,2.500000
-0.464844,-0.449219,1.000000,0.500005,2.500000
-0.464844,-0.441406,1.000000,0.500005,2.500000
-0.464844,-0.433594,1.000000,0.500005,2.500000
-0.464844,-0.425781,1.000000,0.500005,2.500000
